iata_code:string,name:string,city:string,state:string,:LABEL
SEA,Seattle-Tacoma International Airport,Seattle,WA,Airport
SFO,San Francisco International Airport,San Francisco,CA,Airport
SGF,Springfield-Branson National Airport,Springfield,MO,Airport
SGU,St. George Regional Airport,St George,UT,Airport
SHV,Shreveport Regional Airport,Shreveport,LA,Airport
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,Airport
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,Airport
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,Airport
SJU,Luis Muñoz Marín International Airport,San Juan,PR,Airport
SLC,Salt Lake City International Airport,Salt Lake City,UT,Airport
SMF,Sacramento International Airport,Sacramento,CA,Airport
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,Airport
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,Airport
SPI,Abraham Lincoln Capital Airport,Springfield,IL,Airport
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,Airport
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,Airport
STC,St. Cloud Regional Airport,St Cloud,MN,Airport
STL,St. Louis International Airport at Lambert Field,St Louis,MO,Airport
STT,Cyril E. King Airport,Charlotte Amalie,VI,Airport
STX,Henry E. Rohlsen Airport,Christiansted,VI,Airport
SUN,Friedman Memorial Airport,Hailey,ID,Airport
SUX,Sioux Gateway Airport,Sioux City,IA,Airport
SWF,Stewart International Airport,Newburgh,NY,Airport
SYR,Syracuse Hancock International Airport,Syracuse,NY,Airport
TLH,Tallahassee International Airport,Tallahassee,FL,Airport
TOL,Toledo Express Airport,Toledo,OH,Airport
TPA,Tampa International Airport,Tampa,FL,Airport
TRI,Tri-Cities Regional Airport,Bristol,TN,Airport
TTN,Trenton Mercer Airport,Trenton,NJ,Airport
TUL,Tulsa International Airport,Tulsa,OK,Airport
TUS,Tucson International Airport,Tucson,AZ,Airport
TVC,Cherry Capital Airport,Traverse City,MI,Airport
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,Airport
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,Airport
TYR,Tyler Pounds Regional Airport,Tyler,TX,Airport
TYS,McGhee Tyson Airport,Knoxville,TN,Airport
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,Airport
VEL,Valdez Airport,Vernal,UT,Airport
VLD,Valdosta Regional Airport,Valdosta,GA,Airport
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,Airport
WRG,Wrangell Airport,Wrangell,AK,Airport
WYS,Westerly State Airport,West Yellowstone,MT,Airport
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,Airport
YAK,Yakutat Airport,Yakutat,AK,Airport
YUM,Yuma International Airport,Yuma,AZ,Airport
